Id,Age,Gender,Wt,Height,Race,Exposure to fake news [hours/day],Rxn lvl,Notes,Trust level [%],Soc.Med,Status
142,25,Male,107,192,Hispanic,12.8,11,Fully converted,57,Twitter,Suspended
143,64,Female,76,163,Black,9.3,4,Values nothing,55,Twitter,Error
144,37,Non-Binary,75,155,Asian,9.3,3,Believes everything,105,TikTok,Warning Issued
145,40,Non-Binary,104,157,Mixed,11.9,3,Indifferent,74,Instagram,Active
146,66,Non-Binary,55,153,Black,3.7,0,Some skepticism,20,Snapchat,Error
147,66,Male,62,194,Other,5.8,10,Fully converted,-1,WeChat,Needs Verification
148,38,Male,98,158,Mixed,6.4,1,Needs Verification,98,Instagram,Error
149,31,Male,56,154,Hispanic,9.7,10,Some skepticism,48,Twitter,Suspended
150,61,Male,102,189,Other,13.3,1,Does not engage,7,WhatsApp,Warning Issued
151,58,Male,94,188,Asian,14.1,11,Participates in spreading,8,Twitter,Needs Verification
152,51,Male,87,176,Mixed,2.7,1,Occasional check,120,Twitter,Suspended
153,41,Male,55,184,Black,3.6,1,Fully converted,68,Snapchat,Inactive
154,31,Non-Binary,110,199,Hispanic,2.3,2,Fully converted,76,Twitter,Suspended
155,34,Female,112,159,Mixed,12.8,11,More fake news than reality,58,TikTok,Warning Issued
156,65,Female,61,156,Other,7.7,1,Participates in spreading,12,TikTok,Error
157,41,Male,93,177,White,4.4,6,Does not engage,83,Facebook,Inactive
158,43,Female,65,164,White,9.5,9,Occasional check,80,Unknown,Pending Review
159,46,Non-Binary,114,162,Black,9.1,1,Believes everything,101,WeChat,Active
160,51,Non-Binary,65,200,White,10.5,0,Completely unaware,-8,Snapchat,Active
161,28,Non-Binary,69,200,Black,9.8,5,Fully converted,16,Facebook,Warning Issued
162,36,Male,67,164,Black,10.4,9,Needs Verification,13,Instagram,Needs Verification
163,34,Female,100,199,Mixed,6.1,3,Values nothing,52,WhatsApp,Suspended
164,50,Non-Binary,71,154,Mixed,10.8,2,Participates in spreading,37,WeChat,Active
165,70,Male,55,191,Hispanic,2.6,9,More fake news than reality,53,WhatsApp,Inactive
166,35,Non-Binary,96,192,Hispanic,10.1,9,Fully converted,0,Twitter,Pending Review
167,18,Female,63,156,Mixed,8.2,6,Some skepticism,55,Unknown,Error
168,31,Female,114,200,Mixed,12.1,4,Needs Verification,18,Twitter,Pending Review
169,34,Male,80,170,White,7.2,2,Values nothing,42,Unknown,Suspended
170,31,Female,105,195,Hispanic,13.3,1,Does not engage,54,TikTok,Pending Review
171,51,Male,68,162,Black,14,5,More fake news than reality,30,WeChat,Inactive
172,58,Male,63,182,Other,1.2,3,Does not engage,22,WeChat,Error
173,46,Non-Binary,68,198,Asian,7.6,2,Very Confused,89,Twitter,Error
174,34,Male,68,170,Black,6.1,0,Participates in spreading,49,TikTok,Error
175,60,Male,80,191,Other,8.4,8,Some skepticism,115,TikTok,Warning Issued
176,49,Non-Binary,65,171,Asian,2.9,11,Occasional check,74,WhatsApp,Inactive
177,61,Male,117,181,Other,4.7,8,Very Confused,-6,Unknown,Error
178,44,Non-Binary,105,176,Other,14.7,2,Unknown,38,Unknown,Inactive
179,65,Female,91,174,Hispanic,6.5,7,Fully converted,106,Instagram,Pending Review
180,47,Non-Binary,91,192,White,11.5,4,Completely unaware,8,Snapchat,Inactive
181,50,Non-Binary,52,199,Hispanic,8.7,8,Very Confused,80,Unknown,Inactive
182,30,Female,107,158,Asian,12.5,8,Very Confused,110,Snapchat,Needs Verification
183,46,Non-Binary,111,169,Other,14.7,7,Very Confused,5,Snapchat,Suspended
184,23,Male,120,158,Other,14.5,11,Very Confused,22,WeChat,Suspended
185,20,Female,95,163,White,14.5,5,Believes everything,-4,WhatsApp,Active
186,58,Non-Binary,70,170,Other,11.2,8,Does not engage,5,Instagram,Active
187,70,Non-Binary,79,159,Asian,1,6,Unknown,18,Twitter,Needs Verification
188,32,Male,62,157,Other,3.8,4,Completely unaware,11,WhatsApp,Error
189,19,Male,54,196,Asian,11.2,5,Occasional check,-8,Snapchat,Pending Review
190,35,Non-Binary,94,166,Asian,3,2,More fake news than reality,11,WhatsApp,Pending Review
191,69,Non-Binary,59,175,Black,14.2,0,Fully converted,18,TikTok,Suspended
192,58,Non-Binary,59,150,Black,3.2,9,Indifferent,99,WhatsApp,Error
193,37,Female,57,168,Asian,1.8,0,Unknown,85,TikTok,Active
194,62,Male,100,165,Other,5.7,7,Occasional check,54,TikTok,Warning Issued
195,49,Female,88,153,Mixed,4.6,6,Believes everything,115,Instagram,Needs Verification
196,29,Female,57,151,Hispanic,7.4,9,Believes everything,24,Twitter,Pending Review
197,68,Male,62,177,Other,14.3,1,Needs Verification,48,TikTok,Suspended
198,21,Non-Binary,105,165,Black,8.1,9,Some skepticism,8,WhatsApp,Inactive
199,65,Female,72,156,Black,9.7,9,Fully converted,16,Unknown,Error
200,62,Male,82,188,Hispanic,4,4,Does not engage,-2,Snapchat,Error
201,39,Non-Binary,104,164,White,0.8,0,Unknown,90,Unknown,Needs Verification
202,22,Female,102,173,Asian,2.8,3,Indifferent,19,WeChat,Pending Review
203,50,Non-Binary,83,166,White,13.3,7,Needs Verification,5,TikTok,Suspended
204,69,Male,109,183,Hispanic,13.1,10,Very Confused,53,Instagram,Pending Review
205,31,Male,51,165,Other,10.6,8,Unknown,17,Twitter,Needs Verification
206,20,Male,79,176,Other,6.4,11,Completely unaware,98,Instagram,Pending Review
207,29,Non-Binary,82,193,Asian,3.5,0,Unknown,54,WeChat,Pending Review
208,39,Male,98,165,Mixed,10,3,Completely unaware,85,Snapchat,Pending Review
209,31,Male,71,200,Black,1.1,11,Believes everything,22,Unknown,Suspended
210,68,Male,70,197,White,5.8,2,Fully converted,68,Facebook,Active
211,63,Female,106,150,Other,14.4,0,Some skepticism,76,Facebook,Error
212,36,Non-Binary,87,157,Asian,2,11,Indifferent,33,Unknown,Error
213,61,Non-Binary,115,181,White,10,1,Completely unaware,77,WeChat,Error
214,51,Non-Binary,118,190,White,10.6,6,Believes everything,89,Snapchat,Warning Issued
215,52,Non-Binary,64,156,Hispanic,12.5,7,Values nothing,41,Facebook,Pending Review
216,37,Female,118,179,Asian,7.2,2,Needs Verification,70,Snapchat,Suspended
217,62,Male,117,165,Mixed,14.5,5,Does not engage,35,Snapchat,Warning Issued
218,46,Male,115,156,Other,13.7,5,Participates in spreading,0,TikTok,Error
219,62,Non-Binary,63,169,White,4.8,0,Believes everything,21,Instagram,Active
220,29,Non-Binary,105,168,Asian,12.8,1,Participates in spreading,35,Facebook,Inactive
221,22,Female,111,167,Other,10.3,5,Participates in spreading,72,Twitter,Error
222,24,Male,58,170,Mixed,4.4,0,Completely unaware,6,Instagram,Pending Review
223,51,Male,56,170,Asian,5.5,5,Values nothing,-6,Snapchat,Suspended
224,36,Non-Binary,120,162,Asian,13,4,Indifferent,3,Twitter,Warning Issued
225,19,Non-Binary,92,186,Black,6.4,10,Does not engage,96,Unknown,Needs Verification
226,47,Male,98,197,White,14.2,7,Participates in spreading,116,Unknown,Needs Verification
227,25,Non-Binary,119,154,Hispanic,6,4,Very Confused,32,Snapchat,Pending Review
228,55,Male,92,169,Black,2.8,5,Unknown,60,Snapchat,Warning Issued
229,42,Female,104,195,Asian,5.9,1,Values nothing,92,WeChat,Inactive
230,47,Non-Binary,109,153,Other,4.2,5,More fake news than reality,82,Facebook,Suspended
231,33,Male,54,181,Asian,9.8,4,Completely unaware,-1,Twitter,Error
232,22,Female,53,160,White,10.1,4,More fake news than reality,40,Instagram,Pending Review
233,33,Male,88,167,White,7,2,Values nothing,101,TikTok,Pending Review
234,50,Female,79,176,White,5.5,1,Completely unaware,40,WeChat,Active
235,22,Female,93,190,Asian,2.1,7,Completely unaware,116,WeChat,Needs Verification
236,37,Female,59,150,Hispanic,5.3,4,Fully converted,47,WeChat,Active
237,44,Female,104,183,Asian,13.6,5,Participates in spreading,30,Twitter,Error
238,28,Female,84,157,Mixed,14.8,4,Unknown,84,Twitter,Pending Review
239,27,Non-Binary,83,185,Black,0.4,0,Believes everything,27,Instagram,Error
240,54,Female,56,192,Black,8.4,4,Needs Verification,15,WeChat,Warning Issued
241,70,Non-Binary,61,184,Hispanic,11.2,4,Indifferent,8,Facebook,Needs Verification
242,43,Male,113,169,Hispanic,5,7,Occasional check,14,Twitter,Pending Review
243,62,Non-Binary,101,163,Black,10.7,6,Unknown,45,Instagram,Active
244,59,Female,95,198,Hispanic,2.2,11,Values nothing,14,Unknown,Active
245,66,Male,84,164,Black,1,2,Participates in spreading,117,WhatsApp,Pending Review
246,26,Non-Binary,58,198,Asian,13.4,5,Fully converted,3,Instagram,Needs Verification
247,26,Female,71,162,Mixed,8,0,Does not engage,22,WeChat,Pending Review
248,48,Female,84,188,Asian,4.8,10,Unknown,62,WeChat,Suspended
249,55,Female,74,187,Hispanic,5.5,0,Indifferent,70,Unknown,Warning Issued
250,23,Male,52,161,Asian,11.4,8,Unknown,109,Facebook,Suspended
251,70,Male,74,165,White,5.1,4,Fully converted,91,Snapchat,Error
252,51,Female,68,170,Hispanic,5.5,2,Fully converted,112,Instagram,Inactive
253,58,Female,113,168,Black,11.8,2,Participates in spreading,34,Snapchat,Pending Review
254,24,Female,74,199,Hispanic,0.9,11,Very Confused,117,Unknown,Suspended
255,62,Male,91,174,White,1.8,6,Indifferent,58,WhatsApp,Error
256,50,Non-Binary,112,150,Other,13.1,1,Some skepticism,4,Snapchat,Warning Issued
257,20,Male,66,171,Other,0.6,3,More fake news than reality,65,WhatsApp,Needs Verification
258,23,Female,106,164,White,10.5,0,Values nothing,59,Instagram,Pending Review
259,68,Female,76,151,Mixed,4.4,5,Values nothing,86,Twitter,Needs Verification
260,38,Male,101,193,Mixed,4.8,7,Believes everything,0,Twitter,Pending Review
261,67,Female,54,186,Asian,11.9,0,Indifferent,69,WeChat,Error
262,48,Female,114,150,Asian,6.4,7,Fully converted,104,WhatsApp,Inactive
263,53,Non-Binary,64,177,Asian,2.4,8,Completely unaware,96,Facebook,Pending Review
264,68,Male,87,160,Hispanic,1.7,3,Believes everything,70,WhatsApp,Inactive
265,55,Non-Binary,89,166,Hispanic,4.5,3,Values nothing,61,Unknown,Suspended
266,18,Male,110,180,Other,12.8,5,Very Confused,107,Instagram,Inactive
267,63,Male,54,199,Asian,2.2,0,Fully converted,47,Twitter,Error
268,28,Non-Binary,71,154,Mixed,6,11,Participates in spreading,110,Unknown,Suspended
269,44,Female,112,171,Other,4.1,7,Values nothing,92,Twitter,Error
270,21,Non-Binary,93,184,White,3.2,8,Very Confused,85,Unknown,Suspended
271,27,Male,54,152,Black,3.3,5,Some skepticism,-5,Twitter,Needs Verification
272,48,Male,110,180,Black,9.9,1,Does not engage,56,Unknown,Error
273,24,Female,105,193,Black,8.4,4,Believes everything,16,Snapchat,Pending Review
274,64,Non-Binary,57,180,Hispanic,13.7,3,Indifferent,117,Instagram,Error
275,21,Female,93,187,Asian,9,2,Participates in spreading,19,WeChat,Warning Issued
276,28,Male,56,174,White,11.1,6,Completely unaware,-4,TikTok,Needs Verification
277,66,Female,54,151,Mixed,7.8,11,Completely unaware,48,WhatsApp,Warning Issued
278,42,Male,70,200,Mixed,13.8,3,Participates in spreading,78,Unknown,Inactive
279,31,Male,96,178,Hispanic,0.4,0,Does not engage,115,WhatsApp,Inactive
280,62,Male,74,185,White,8,6,Participates in spreading,-3,Snapchat,Inactive
281,38,Non-Binary,86,173,Hispanic,3.8,0,Values nothing,29,Instagram,Active
282,30,Male,71,179,Mixed,0.5,3,Fully converted,61,Twitter,Inactive
283,25,Female,62,162,Black,3.9,7,Some skepticism,93,Unknown,Pending Review
284,47,Non-Binary,100,161,White,7.1,1,Occasional check,52,TikTok,Active
285,49,Female,73,150,Hispanic,4.5,7,Occasional check,118,Unknown,Pending Review
286,62,Male,91,194,Other,0.7,1,Completely unaware,60,WhatsApp,Inactive
287,30,Male,64,195,Black,9.2,9,More fake news than reality,115,Snapchat,Active
288,61,Female,52,197,Other,11.9,1,Unknown,36,Twitter,Inactive
289,45,Female,81,193,Asian,7.5,2,Needs Verification,100,Snapchat,Warning Issued
290,34,Non-Binary,75,169,Black,11.5,8,Does not engage,4,Instagram,Error
291,32,Female,61,200,White,5.3,0,Fully converted,104,Snapchat,Suspended
292,31,Male,94,189,Asian,5.5,1,Unknown,0,Unknown,Active
293,60,Male,80,158,Other,11.3,11,Unknown,7,Facebook,Error
294,51,Male,94,187,Black,9.2,7,Does not engage,50,Snapchat,Inactive
295,35,Non-Binary,88,164,Hispanic,6,9,Believes everything,-3,Facebook,Error
296,32,Non-Binary,74,196,Other,5.9,9,More fake news than reality,72,Unknown,Inactive
297,38,Male,92,180,Mixed,5.7,2,Some skepticism,92,TikTok,Inactive
298,52,Non-Binary,104,196,Mixed,6.8,5,Indifferent,70,Twitter,Error
299,30,Female,106,173,White,0.7,8,Fully converted,21,WeChat,Active
300,51,Male,89,175,White,9.2,4,Very Confused,48,Facebook,Pending Review
301,30,Female,96,180,White,12.6,9,Believes everything,-7,WhatsApp,Active
302,65,Non-Binary,104,183,Hispanic,11.4,7,Unknown,75,Twitter,Active
303,21,Male,113,162,Mixed,6.4,1,Participates in spreading,66,Unknown,Active
304,46,Female,91,166,Other,3.3,4,More fake news than reality,65,Snapchat,Error
305,61,Non-Binary,113,160,Black,2.5,8,Some skepticism,25,WhatsApp,Error
306,55,Male,94,166,Other,3.5,7,Completely unaware,70,TikTok,Inactive
307,51,Male,106,159,Black,3.9,10,Occasional check,103,Twitter,Error
308,60,Male,61,200,Black,9.8,11,Unknown,8,Facebook,Warning Issued
309,48,Male,116,177,Mixed,1.5,7,Some skepticism,26,Twitter,Warning Issued
310,26,Male,75,153,Hispanic,0.2,4,Believes everything,27,WhatsApp,Active
311,57,Male,114,176,White,13.4,10,Occasional check,-4,Snapchat,Needs Verification
312,35,Female,61,170,Hispanic,8.7,11,Values nothing,92,Facebook,Pending Review
313,68,Female,76,176,Other,9.6,2,Believes everything,103,WeChat,Suspended
314,45,Non-Binary,56,166,Asian,12.4,5,Unknown,34,WeChat,Pending Review
315,36,Non-Binary,66,161,Other,1.9,1,More fake news than reality,99,Twitter,Pending Review
316,39,Female,61,182,Asian,7.1,4,More fake news than reality,81,Unknown,Error
317,36,Non-Binary,88,164,Mixed,8.4,7,Very Confused,58,Instagram,Active
318,45,Female,84,169,Black,7.3,10,Occasional check,93,Twitter,Error
319,68,Non-Binary,63,167,Black,14,10,Completely unaware,49,Unknown,Suspended
320,26,Male,53,185,Asian,3.8,7,Believes everything,-6,TikTok,Needs Verification
321,49,Male,85,160,Black,2.8,2,More fake news than reality,49,WeChat,Needs Verification
322,27,Female,102,188,Asian,12.3,0,Fully converted,114,Unknown,Needs Verification
323,27,Non-Binary,90,164,Mixed,2,5,Indifferent,25,WhatsApp,Active
324,29,Male,100,162,Hispanic,5.5,2,Occasional check,14,WeChat,Inactive
325,58,Non-Binary,76,173,Hispanic,13.9,3,Participates in spreading,113,WhatsApp,Inactive
326,46,Non-Binary,102,174,Hispanic,11.3,7,Needs Verification,-2,Twitter,Suspended
327,23,Non-Binary,51,162,White,7.2,11,Very Confused,-6,WeChat,Error
328,69,Male,105,160,Hispanic,6,10,Believes everything,-3,WhatsApp,Inactive
329,46,Non-Binary,98,183,White,6.3,2,Very Confused,101,Facebook,Warning Issued
330,62,Non-Binary,50,185,Black,1.8,9,Fully converted,114,WhatsApp,Suspended
331,43,Female,117,182,White,3.6,9,Indifferent,115,Twitter,Pending Review
332,43,Female,65,186,White,7.5,2,Very Confused,116,WhatsApp,Suspended
333,35,Female,79,179,Hispanic,1.3,8,Fully converted,-9,Instagram,Suspended
334,37,Male,81,155,Mixed,4,10,Does not engage,62,WhatsApp,Active
335,47,Non-Binary,60,152,Black,5.4,7,Occasional check,66,Facebook,Inactive
336,49,Male,82,182,Mixed,5.5,7,Participates in spreading,75,Unknown,Suspended
337,43,Non-Binary,120,177,Other,0.5,1,Occasional check,-1,WeChat,Warning Issued
338,51,Male,88,180,White,0.5,7,Fully converted,65,WhatsApp,Needs Verification
339,59,Non-Binary,65,155,Mixed,13.7,0,Values nothing,64,Unknown,Active
